func	unit	status	len_err	diffs	flags	needs_guard
func_8002CE08	mask_test_call_800eb26c_two_calls	MATCH	0	0	-G8 -msplit-addresses	
func_8002CE64	mask_test_800eb26c_notify_and_recheck	OK	0	3	-G8 -mno-split-addresses	
func_8002CEE8	func_8002CEE8	MATCH	0	0	-G8 -mno-split-addresses	
func_8002D0E0	func_8002D0E0	MATCH	0	0	-G8 -mno-split-addresses	
func_8002D180	func_8002D180	OK	0	2	-G8 -msplit-addresses	
func_8002D2D8	func_8002D2D8	OK	0	6	-G8	
func_8002D370	func_8002D370	MATCH	0	0	-G8 -mno-split-addresses	
func_8002D3F8	mask_test_800eb26c_dual_calls_conditional	MATCH	0	0	-G8 -msplit-addresses	
func_8002D458	func_8002D458	ERROR	None	None	-G8 -msplit-addresses	D_801D07DC
func_8002D588	func_8002D588	MATCH	0	0	-G8	
func_8002D62C	func_8002D62C	MATCH	0	0	-G8 -msplit-addresses	
func_8002D684	mask_test_call_800eb26c	MATCH	0	0	-G8	
func_8002D6C8	func_8002D6C8	MATCH	0	0	-G8 -msplit-addresses	
func_8002D730	func_8002D730	MATCH	0	0	-G8 -msplit-addresses	
func_8002D7C4	func_8002D7C4	MATCH	0	0	-G8	
func_8002D7CC	func_8002D7CC	MATCH	0	0	-G8 -msplit-addresses	
func_8002DA1C	duel_setup_state_machine_dispatch	STUB				
func_8002DC38	mask_test_800eb26c_reinit_and_poll	STUB				
func_8002DD74	main_task_dispatch_loop	MATCH	0	0	-G8 -msplit-addresses	
func_8002DDFC	func_8002DDFC	MATCH	0	0	-G0 -mno-split-addresses	
func_8002DF2C	func_8002DF2C	OK	0	2	-G0 -mno-split-addresses	
func_8002E00C	func_8002E00C	MATCH	0	0	-G8	
func_8002E060	create_slot_2_and_tag	MATCH	0	0	-G8 -msplit-addresses	
func_8002E128	func_8002E128	STUB				
func_8002E370	set_flag2_from_entry_search	MATCH	0	0	-G8	
func_8002E3B4	test_and_set_flag_8009b27c	MATCH	0	0	-G8	
func_8002E3DC	call_8002e3b4_wrapper	MATCH	0	0	-G8	
func_8002E3FC	create_obj_and_init_800404cc	MATCH	0	0	-G8	
func_8002E470	stream_read_index_and_check_ready	STUB				
func_8002E6B8	parse_stream_header_and_opt_fields	MATCH	0	0	-G8	
func_8002E730	func_8002E730	STUB				
func_8002E918	func_8002E918	MATCH	0	0	-G8 -msplit-addresses	
func_8002E9A0	func_8002E9A0	MATCH	0	0	-G8 -msplit-addresses	
func_8002EA0C	func_8002EA0C	STUB				
func_8002EB48	stream_read_dispatch_byte	MATCH	0	0	-G8 -mno-split-addresses	
func_8002EB78	func_8002EB78	MATCH	0	0	-G8	
func_8002EDB0	advance_input_byte_and_dispatch	MATCH	0	0	-G8 -msplit-addresses	
func_8002EE20	stream_relative_jump	MATCH	0	0	-G8	
func_8002EE5C	check_list_full	MATCH	0	0	-G8	
func_8002EE94	func_8002EE94	STUB				
func_8002F430	func_8002F430	MATCH	0	0	-G8	
func_8002F438	func_8002F438	MATCH	0	0	-G8	
func_8002F440	func_8002F440	MATCH	0	0	-G8 -msplit-addresses	
func_8002F4C0	func_8002F4C0	MATCH	0	0	-G0 -mno-split-addresses	
func_8002F630	func_8002F630	MATCH	0	0	-G8 -msplit-addresses	
func_8002F930	set_state12_dual	MATCH	0	0	-G8 -mno-split-addresses	
func_8002F94C	set_state15_dual	MATCH	0	0	-G8 -mno-split-addresses	
func_8002F968	stream_countdown_refill	MATCH	0	0	-G8 -msplit-addresses	
