category	name	hacker	code	status	address
Max Card Codes	Max Card 41	Police NYPD	301D0278 0063	WRITE	0x801D0278
Max Card Codes	Max Card 42	Police NYPD	301D0279 0063	WRITE	0x801D0279
Max Card Codes	Max Card 43	Police NYPD	301D027A 0063	WRITE	0x801D027A
Max Card Codes	Max Card 44	Police NYPD	301D027B 0063	WRITE	0x801D027B
Max Card Codes	Max Card 45	Police NYPD	301D027C 0063	WRITE	0x801D027C
Max Card Codes	Max Card 46	Police NYPD	301D027D 0063	WRITE	0x801D027D
Max Card Codes	Max Card 47	Police NYPD	301D027E 0063	WRITE	0x801D027E
Max Card Codes	Max Card 48	Police NYPD	301D027F 0063	WRITE	0x801D027F
Max Card Codes	Max Card 49	Police NYPD	301D0280 0063	WRITE	0x801D0280
Max Card Codes	Max Card 50	Police NYPD	301D0281 0063	WRITE	0x801D0281
Max Card Codes	Max Card 51	Police NYPD	301D0282 0063	WRITE	0x801D0282
Max Card Codes	Max Card 52	Police NYPD	301D0283 0063	WRITE	0x801D0283
Max Card Codes	Max Card 53	Police NYPD	301D0284 0063	WRITE	0x801D0284
